date,day_index,selected_candidate,selected_tau,selected_rho,selected_gamma,soc_start_kwh,soc_end_kwh,realized_total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,emergency_kwh,spill_kwh,candidate_scores_using_past_only
2025-07-24,204,cvar_t0.95_r0.05_g0.02,0.95,0.05,0.02,7854.90011105231,9076.81267889026,56954.106936524084,56954.106936524084,0.0,0.0,8408.05754639918,"{""nocvar_g0.00"": 48751.35810369162, ""cvar_t0.90_r0.05_g0.00"": 48332.1422092532, ""cvar_t0.90_r0.20_g0.00"": 48948.07120511314, ""cvar_t0.95_r0.05_g0.00"": 48332.1422092532, ""cvar_t0.95_r0.20_g0.00"": 48948.07120511314, ""nocvar_g0.02"": 49214.669192370704, ""cvar_t0.90_r0.05_g0.02"": 48293.12600558751, ""cvar_t0.90_r0.20_g0.02"": 48880.57755916616, ""cvar_t0.95_r0.05_g0.02"": 48292.961269215375, ""cvar_t0.95_r0.20_g0.02"": 48880.57755916616, ""nocvar_g0.05"": 48933.68579296133, ""cvar_t0.90_r0.05_g0.05"": 49096.74457898653, ""cvar_t0.90_r0.20_g0.05"": 48591.75262492469, ""cvar_t0.95_r0.05_g0.05"": 48814.7293143303, ""cvar_t0.95_r0.20_g0.05"": 48735.07512001812}"
2025-07-25,205,cvar_t0.95_r0.05_g0.02,0.95,0.05,0.02,9076.81267889026,8870.691214686118,28511.438643724232,28511.438643724232,0.0,0.0,15271.554550513358,"{""nocvar_g0.00"": 48935.57684822241, ""cvar_t0.90_r0.05_g0.00"": 48536.628736880535, ""cvar_t0.90_r0.20_g0.00"": 49132.05912098444, ""cvar_t0.95_r0.05_g0.00"": 48536.628736880535, ""cvar_t0.95_r0.20_g0.00"": 49132.05912098444, ""nocvar_g0.02"": 49330.53708784194, ""cvar_t0.90_r0.05_g0.02"": 48470.701112564, ""cvar_t0.90_r0.20_g0.02"": 49066.36017563467, ""cvar_t0.95_r0.05_g0.02"": 48470.63640162674, ""cvar_t0.95_r0.20_g0.02"": 49066.36017563467, ""nocvar_g0.05"": 48981.559505000434, ""cvar_t0.90_r0.05_g0.05"": 49211.55054461886, ""cvar_t0.90_r0.20_g0.05"": 48753.94075981266, ""cvar_t0.95_r0.05_g0.05"": 48933.39960165811, ""cvar_t0.95_r0.20_g0.05"": 48907.698930992316}"
2025-07-26,206,cvar_t0.95_r0.05_g0.02,0.95,0.05,0.02,8870.691214686118,9332.163429888891,30127.793362950004,30127.793362950004,0.0,0.0,14629.615654541363,"{""nocvar_g0.00"": 49227.36556757373, ""cvar_t0.90_r0.05_g0.00"": 48823.94232012023, ""cvar_t0.90_r0.20_g0.00"": 49324.51806721884, ""cvar_t0.95_r0.05_g0.00"": 48823.94232012023, ""cvar_t0.95_r0.20_g0.00"": 49324.51806721884, ""nocvar_g0.02"": 49595.26383252166, ""cvar_t0.90_r0.05_g0.02"": 48748.60651812872, ""cvar_t0.90_r0.20_g0.02"": 49232.44631269708, ""cvar_t0.95_r0.05_g0.02"": 48748.54180719146, ""cvar_t0.95_r0.20_g0.02"": 49232.44631269708, ""nocvar_g0.05"": 49213.8464173691, ""cvar_t0.90_r0.05_g0.05"": 49464.92929274524, ""cvar_t0.90_r0.20_g0.05"": 48930.60534477312, ""cvar_t0.95_r0.05_g0.05"": 49186.778349784494, ""cvar_t0.95_r0.20_g0.05"": 49085.2933724649}"
2025-07-27,207,cvar_t0.95_r0.05_g0.02,0.95,0.05,0.02,9332.163429888891,9067.3774072428,55869.17652252652,55869.17652252652,0.0,0.0,7325.937688063556,"{""nocvar_g0.00"": 49550.62603746123, ""cvar_t0.90_r0.05_g0.00"": 49172.24644996312, ""cvar_t0.90_r0.20_g0.00"": 49621.065944511334, ""cvar_t0.95_r0.05_g0.00"": 49172.24644996312, ""cvar_t0.95_r0.20_g0.00"": 49621.065944511334, ""nocvar_g0.02"": 49881.13492092812, ""cvar_t0.90_r0.05_g0.02"": 49097.51651031232, ""cvar_t0.90_r0.20_g0.02"": 49492.54780683886, ""cvar_t0.95_r0.05_g0.02"": 49097.466941455226, ""cvar_t0.95_r0.20_g0.02"": 49496.087623402695, ""nocvar_g0.05"": 49471.962489143676, ""cvar_t0.90_r0.05_g0.05"": 49751.18604657452, ""cvar_t0.90_r0.20_g0.05"": 49209.31611756508, ""cvar_t0.95_r0.05_g0.05"": 49473.03510361379, ""cvar_t0.95_r0.20_g0.05"": 49365.54011666523}"
2025-07-28,208,cvar_t0.90_r0.20_g0.05,0.9,0.2,0.05,9067.3774072428,8714.872856861224,56703.520739862375,56703.520739862375,0.0,0.0,3777.0044728455196,"{""nocvar_g0.00"": 49803.26935830928, ""cvar_t0.90_r0.05_g0.00"": 49369.769695319825, ""cvar_t0.90_r0.20_g0.00"": 49710.25149326228, ""cvar_t0.95_r0.05_g0.00"": 49369.769695319825, ""cvar_t0.95_r0.20_g0.00"": 49710.25149326228, ""nocvar_g0.02"": 50132.113003671184, ""cvar_t0.90_r0.05_g0.02"": 49308.28544610501, ""cvar_t0.90_r0.20_g0.02"": 49580.390520473076, ""cvar_t0.95_r0.05_g0.02"": 49308.23587724791, ""cvar_t0.95_r0.20_g0.02"": 49583.93033703691, ""nocvar_g0.05"": 49730.97475953285, ""cvar_t0.90_r0.05_g0.05"": 50010.108229963924, ""cvar_t0.90_r0.20_g0.05"": 49296.07087282782, ""cvar_t0.95_r0.05_g0.05"": 49708.45597104229, ""cvar_t0.95_r0.20_g0.05"": 49452.29487192795}"
2025-07-29,209,cvar_t0.90_r0.20_g0.05,0.9,0.2,0.05,8714.872856861224,7580.144195736111,54592.15283636897,54592.15283636897,0.0,0.0,5171.430333751343,"{""nocvar_g0.00"": 50116.16111181133, ""cvar_t0.90_r0.05_g0.00"": 49671.301590503004, ""cvar_t0.90_r0.20_g0.00"": 49771.610695355535, ""cvar_t0.95_r0.05_g0.00"": 49671.301590503004, ""cvar_t0.95_r0.20_g0.00"": 49771.610695355535, ""nocvar_g0.02"": 50416.52714286737, ""cvar_t0.90_r0.05_g0.02"": 49587.620800383935, ""cvar_t0.90_r0.20_g0.02"": 49643.90943118185, ""cvar_t0.95_r0.05_g0.02"": 49593.00632410241, ""cvar_t0.95_r0.20_g0.02"": 49647.44924774568, ""nocvar_g0.05"": 49992.063226894694, ""cvar_t0.90_r0.05_g0.05"": 50258.735938898695, ""cvar_t0.90_r0.20_g0.05"": 49352.987981611055, ""cvar_t0.95_r0.05_g0.05"": 49938.83029208281, ""cvar_t0.95_r0.20_g0.05"": 49512.38568410925}"
2025-07-30,210,nocvar_g0.05,,0.0,0.05,7580.144195736111,8147.3115071111115,54007.69566838659,54007.69566838659,0.0,0.0,4565.226279337451,"{""nocvar_g0.00"": 50089.57965248575, ""cvar_t0.90_r0.05_g0.00"": 49634.12876248191, ""cvar_t0.90_r0.20_g0.00"": 49840.36526642429, ""cvar_t0.95_r0.05_g0.00"": 49634.12876248191, ""cvar_t0.95_r0.20_g0.00"": 49840.36526642429, ""nocvar_g0.02"": 49707.77456611521, ""cvar_t0.90_r0.05_g0.02"": 49539.20744104304, ""cvar_t0.90_r0.20_g0.02"": 49681.22568741068, ""cvar_t0.95_r0.05_g0.02"": 49551.01070865796, ""cvar_t0.95_r0.20_g0.02"": 49715.94320074644, ""nocvar_g0.05"": 49081.19243699061, ""cvar_t0.90_r0.05_g0.05"": 49530.61624038736, ""cvar_t0.90_r0.20_g0.05"": 49378.17605370621, ""cvar_t0.95_r0.05_g0.05"": 49306.20375349654, ""cvar_t0.95_r0.20_g0.05"": 49535.58816486285}"
2025-07-31,211,nocvar_g0.05,,0.0,0.05,8147.3115071111115,6741.901676047321,51917.17279828902,51917.17279828902,0.0,0.0,3505.6729360082318,"{""nocvar_g0.00"": 50085.74007540232, ""cvar_t0.90_r0.05_g0.00"": 49645.461711961914, ""cvar_t0.90_r0.20_g0.00"": 50036.45841063122, ""cvar_t0.95_r0.05_g0.00"": 49645.461711961914, ""cvar_t0.95_r0.20_g0.00"": 50036.45841063122, ""nocvar_g0.02"": 49667.09656607082, ""cvar_t0.90_r0.05_g0.02"": 49493.971636804854, ""cvar_t0.90_r0.20_g0.02"": 49754.16791549901, ""cvar_t0.95_r0.05_g0.02"": 49505.34907404978, ""cvar_t0.95_r0.20_g0.02"": 49918.630668231985, ""nocvar_g0.05"": 49044.11039546472, ""cvar_t0.90_r0.05_g0.05"": 49471.25230184686, ""cvar_t0.90_r0.20_g0.05"": 49340.127190954045, ""cvar_t0.95_r0.05_g0.05"": 49250.11609380575, ""cvar_t0.95_r0.20_g0.05"": 49523.96822476273}"
2025-08-01,212,nocvar_g0.05,,0.0,0.05,6741.901676047321,6951.469205111111,26039.81429089781,26039.81429089781,0.0,0.0,19077.11132833333,"{""nocvar_g0.00"": 49123.16111780918, ""cvar_t0.90_r0.05_g0.00"": 49321.909979068085, ""cvar_t0.90_r0.20_g0.00"": 49961.76168042517, ""cvar_t0.95_r0.05_g0.00"": 49321.909979068085, ""cvar_t0.95_r0.20_g0.00"": 49961.76168042517, ""nocvar_g0.02"": 48628.0330983324, ""cvar_t0.90_r0.05_g0.02"": 49119.90634090656, ""cvar_t0.90_r0.20_g0.02"": 49608.18256233232, ""cvar_t0.95_r0.05_g0.02"": 49130.826732255, ""cvar_t0.95_r0.20_g0.02"": 49852.99024905089, ""nocvar_g0.05"": 47714.21104657254, ""cvar_t0.90_r0.05_g0.05"": 48329.024998945984, ""cvar_t0.90_r0.20_g0.05"": 49122.014053548584, ""cvar_t0.95_r0.05_g0.05"": 48359.13806286637, ""cvar_t0.95_r0.20_g0.05"": 49326.03446935677}"
2025-08-02,213,nocvar_g0.05,,0.0,0.05,6951.469205111111,8424.179931017356,27393.737645638717,27393.737645638717,0.0,0.0,18524.346173946728,"{""nocvar_g0.00"": 48902.69953073094, ""cvar_t0.90_r0.05_g0.00"": 49184.416394649605, ""cvar_t0.90_r0.20_g0.00"": 50116.11840342299, ""cvar_t0.95_r0.05_g0.00"": 49184.416394649605, ""cvar_t0.95_r0.20_g0.00"": 50116.11840342299, ""nocvar_g0.02"": 48410.08872415186, ""cvar_t0.90_r0.05_g0.02"": 48973.152473060814, ""cvar_t0.90_r0.20_g0.02"": 49697.82846116264, ""cvar_t0.95_r0.05_g0.02"": 48982.3542635775, ""cvar_t0.95_r0.20_g0.02"": 49967.45531182178, ""nocvar_g0.05"": 47689.67799636737, ""cvar_t0.90_r0.05_g0.05"": 48347.86893577764, ""cvar_t0.90_r0.20_g0.05"": 49225.96190449457, ""cvar_t0.95_r0.05_g0.05"": 48388.83043821596, ""cvar_t0.95_r0.20_g0.05"": 49431.27464706059}"
2025-08-03,214,nocvar_g0.05,,0.0,0.05,8424.179931017356,6223.824132314818,48525.82088650059,48525.82088650059,0.0,0.0,10830.477249836684,"{""nocvar_g0.00"": 48586.33328754816, ""cvar_t0.90_r0.05_g0.00"": 48878.05804868446, ""cvar_t0.90_r0.20_g0.00"": 50182.044790794505, ""cvar_t0.95_r0.05_g0.00"": 48878.05804868446, ""cvar_t0.95_r0.20_g0.00"": 50182.044790794505, ""nocvar_g0.02"": 48071.08183611422, ""cvar_t0.90_r0.05_g0.02"": 48860.111633024855, ""cvar_t0.90_r0.20_g0.02"": 49767.19524753712, ""cvar_t0.95_r0.05_g0.02"": 48870.8309444468, ""cvar_t0.95_r0.20_g0.02"": 50036.82209819629, ""nocvar_g0.05"": 47624.403956802395, ""cvar_t0.90_r0.05_g0.05"": 48298.16243415557, ""cvar_t0.90_r0.20_g0.05"": 49298.31298426232, ""cvar_t0.95_r0.05_g0.05"": 48341.734896584596, ""cvar_t0.95_r0.20_g0.05"": 49505.94319668168}"
2025-08-04,215,nocvar_g0.05,,0.0,0.05,6223.824132314818,8105.322364925933,51686.9178536488,51686.9178536488,0.0,0.0,8675.860180329222,"{""nocvar_g0.00"": 47092.94100774456, ""cvar_t0.90_r0.05_g0.00"": 47578.31954088195, ""cvar_t0.90_r0.20_g0.00"": 49576.036124758895, ""cvar_t0.95_r0.05_g0.00"": 47578.31954088195, ""cvar_t0.95_r0.20_g0.00"": 49576.036124758895, ""nocvar_g0.02"": 46475.26813905603, ""cvar_t0.90_r0.05_g0.02"": 47475.93452648986, ""cvar_t0.90_r0.20_g0.02"": 49161.87464884601, ""cvar_t0.95_r0.05_g0.02"": 47535.329622117926, ""cvar_t0.95_r0.20_g0.02"": 49431.50149950517, ""nocvar_g0.05"": 45942.61598662267, ""cvar_t0.90_r0.05_g0.05"": 46722.77462368819, ""cvar_t0.90_r0.20_g0.05"": 48278.23189549683, ""cvar_t0.95_r0.05_g0.05"": 46773.63418628247, ""cvar_t0.95_r0.20_g0.05"": 48899.943751120554}"
2025-08-05,216,nocvar_g0.05,,0.0,0.05,8105.322364925933,7579.113060806668,47802.20406572276,47802.20406572276,0.0,0.0,4058.2315172318094,"{""nocvar_g0.00"": 47096.922605918764, ""cvar_t0.90_r0.05_g0.00"": 47624.00748278317, ""cvar_t0.90_r0.20_g0.00"": 49568.2518847922, ""cvar_t0.95_r0.05_g0.00"": 47624.00748278317, ""cvar_t0.95_r0.20_g0.00"": 49568.2518847922, ""nocvar_g0.02"": 46490.07341183248, ""cvar_t0.90_r0.05_g0.02"": 47438.707564018165, ""cvar_t0.90_r0.20_g0.02"": 49148.845909728676, ""cvar_t0.95_r0.05_g0.02"": 47498.10265964623, ""cvar_t0.95_r0.20_g0.02"": 49418.47276038783, ""nocvar_g0.05"": 45841.76198150688, ""cvar_t0.90_r0.05_g0.05"": 46654.534213099505, ""cvar_t0.90_r0.20_g0.05"": 48261.18472090425, ""cvar_t0.95_r0.05_g0.05"": 46704.49191864525, ""cvar_t0.95_r0.20_g0.05"": 48868.76083598718}"
2025-08-06,217,nocvar_g0.05,,0.0,0.05,7579.113060806668,5163.344382095371,51137.0754690655,46649.64616462633,4487.429304439174,643.2668154299275,3004.6212486625573,"{""nocvar_g0.00"": 46948.060215117635, ""cvar_t0.90_r0.05_g0.00"": 47505.7276020605, ""cvar_t0.90_r0.20_g0.00"": 49592.522813552125, ""cvar_t0.95_r0.05_g0.00"": 47505.7276020605, ""cvar_t0.95_r0.20_g0.00"": 49592.522813552125, ""nocvar_g0.02"": 46339.90384284687, ""cvar_t0.90_r0.05_g0.02"": 47275.85405073889, ""cvar_t0.90_r0.20_g0.02"": 49030.05809770751, ""cvar_t0.95_r0.05_g0.02"": 47337.851487870306, ""cvar_t0.95_r0.20_g0.02"": 49445.492023531864, ""nocvar_g0.05"": 45632.60101637124, ""cvar_t0.90_r0.05_g0.05"": 46473.194081441026, ""cvar_t0.90_r0.20_g0.05"": 48090.75743151747, ""cvar_t0.95_r0.05_g0.05"": 46524.563054629376, ""cvar_t0.95_r0.20_g0.05"": 48698.907117930765}"
2025-08-07,218,nocvar_g0.05,,0.0,0.05,5163.344382095371,6363.1615071453725,46435.68095816793,46435.68095816793,0.0,0.0,3169.547137545883,"{""nocvar_g0.00"": 46917.74170058158, ""cvar_t0.90_r0.05_g0.00"": 47499.04432145553, ""cvar_t0.90_r0.20_g0.00"": 49584.73023282319, ""cvar_t0.95_r0.05_g0.00"": 47499.04432145553, ""cvar_t0.95_r0.20_g0.00"": 49584.73023282319, ""nocvar_g0.02"": 46212.28912977309, ""cvar_t0.90_r0.05_g0.02"": 47204.66045162395, ""cvar_t0.90_r0.20_g0.02"": 49024.58010479854, ""cvar_t0.95_r0.05_g0.02"": 47270.04996971186, ""cvar_t0.95_r0.20_g0.02"": 49443.75097145053, ""nocvar_g0.05"": 45592.07102928765, ""cvar_t0.90_r0.05_g0.05"": 46366.486102228206, ""cvar_t0.90_r0.20_g0.05"": 48062.84143335578, ""cvar_t0.95_r0.05_g0.05"": 46408.050317918634, ""cvar_t0.95_r0.20_g0.05"": 48678.004823653886}"
2025-08-08,219,nocvar_g0.05,,0.0,0.05,6363.1615071453725,6739.0731895614845,24013.904645076327,24013.904645076327,0.0,0.0,20556.30719761317,"{""nocvar_g0.00"": 46833.67152973457, ""cvar_t0.90_r0.05_g0.00"": 47411.27690675966, ""cvar_t0.90_r0.20_g0.00"": 49417.26756148733, ""cvar_t0.95_r0.05_g0.00"": 47411.27690675966, ""cvar_t0.95_r0.20_g0.00"": 49417.26756148733, ""nocvar_g0.02"": 46103.994154220316, ""cvar_t0.90_r0.05_g0.02"": 47138.95591666681, ""cvar_t0.90_r0.20_g0.02"": 48855.018005266254, ""cvar_t0.95_r0.05_g0.02"": 47190.09369354734, ""cvar_t0.95_r0.20_g0.02"": 49274.18887191824, ""nocvar_g0.05"": 45460.81349523643, ""cvar_t0.90_r0.05_g0.05"": 46261.30413671735, ""cvar_t0.90_r0.20_g0.05"": 47985.08480763697, ""cvar_t0.95_r0.05_g0.05"": 46299.20112938558, ""cvar_t0.95_r0.20_g0.05"": 48501.47071677155}"
