day_index,candidate_count,candidate_solve_seconds_sum,max_source_pool_residual
201,15,2.4205087921000086,5.684341886080801e-13
202,15,2.5361788840964437,4.547473508864641e-13
203,15,3.154657909879461,4.547473508864641e-13
204,15,2.979427849117201,4.547473508864641e-13
205,15,2.2479911801056005,2.2737367544323206e-13
206,15,1.9372555220033973,2.2737367544323206e-13
207,15,2.7551949459011666,4.547473508864641e-13
208,15,2.7415924731758423,4.547473508864641e-13
209,15,3.1162775060511194,4.547473508864641e-13
210,15,3.382039542077109,4.547473508864641e-13
211,15,3.1638196680578403,4.547473508864641e-13
212,15,2.0770255210227333,2.2737367544323206e-13
213,15,1.866533049091231,2.2737367544323206e-13
214,15,2.7642253689700738,4.547473508864641e-13
215,15,3.0427382648922503,4.547473508864641e-13
216,15,3.1921802329597995,5.684341886080801e-13
217,15,3.2460032807430252,4.547473508864641e-13
218,15,3.003032928041648,4.547473508864641e-13
219,15,2.0761033680755645,2.2737367544323206e-13
220,15,2.033523221965879,2.2737367544323206e-13
221,15,3.2082017899374478,2.2737367544323206e-13
222,15,2.9540787719888613,4.547473508864641e-13
223,15,3.5590533879585564,4.547473508864641e-13
224,15,3.120004525000695,4.547473508864641e-13
225,15,2.9190971269854344,4.547473508864641e-13
226,15,1.8936546010663733,2.2737367544323206e-13
227,15,1.9724706119741313,2.2737367544323206e-13
228,15,3.7187238020123914,4.547473508864641e-13
229,15,2.8625972391455434,4.547473508864641e-13
230,15,3.5143209179514088,4.547473508864641e-13
231,15,3.3044362679938786,2.6290081223123707e-13
232,15,3.1513566040666774,3.268496584496461e-13
233,15,1.9843791709281504,2.2737367544323206e-13
234,15,2.1670037770527415,2.2737367544323206e-13
235,15,3.0648669819929637,4.547473508864641e-13
236,15,3.466890867857728,2.2737367544323206e-13
237,15,3.0083495779545046,4.547473508864641e-13
238,15,3.6106320000253618,4.547473508864641e-13
239,15,3.7795424358919263,4.547473508864641e-13
240,15,1.9947445600992069,2.8421709430404007e-13
241,15,2.0804672181257047,2.2737367544323206e-13
242,15,3.05818819795968,2.2737367544323206e-13
243,15,3.4874761690734886,2.8421709430404007e-13
244,15,3.2696460249717347,2.2737367544323206e-13
245,15,3.407313952979166,4.547473508864641e-13
246,15,3.1114670750685036,4.547473508864641e-13
247,15,1.9412491081166081,2.2737367544323206e-13
248,15,2.060821935941931,2.2737367544323206e-13
249,15,3.8089622440747917,4.547473508864641e-13
250,15,3.4110915238852613,4.547473508864641e-13
251,15,3.0595131230074912,4.547473508864641e-13
252,15,3.9576914910576306,2.2737367544323206e-13
253,15,2.8798141081351787,4.547473508864641e-13
254,15,1.8743472578935325,2.2737367544323206e-13
255,15,2.004691631998867,2.2737367544323206e-13
256,15,3.026368332095444,2.2737367544323206e-13
257,15,3.146429593907669,4.547473508864641e-13
258,15,3.0308561580022797,4.547473508864641e-13
259,15,2.6500221381429583,4.547473508864641e-13
260,15,2.4576122650760226,2.469136006766348e-13
261,15,2.3065594260115176,2.2737367544323206e-13
262,15,1.8226263360702433,2.2737367544323206e-13
263,15,2.4409054340212606,2.2737367544323206e-13
264,15,3.373749847058207,2.2737367544323206e-13
265,15,3.080411420960445,4.547473508864641e-13
266,15,2.880624853016343,4.547473508864641e-13
267,15,2.6375320879160427,2.524647157997606e-13
268,15,2.088398404070176,2.2737367544323206e-13
269,15,1.8931514600408264,2.6439961331448103e-13
270,15,2.689530263945926,4.547473508864641e-13
271,15,3.0893557939562015,2.2737367544323206e-13
272,15,3.069196383119561,4.547473508864641e-13
273,15,3.5823038610978983,4.547473508864641e-13
274,15,2.925908530014567,2.2737367544323206e-13
275,15,1.8464500869740732,2.2737367544323206e-13
276,15,1.8062646739999764,2.2737367544323206e-13
277,15,3.047252147924155,1.5916157281026244e-12
278,15,2.3609615399618633,2.2737367544323206e-13
279,15,2.8941419009352103,4.547473508864641e-13
280,15,3.1093972628586926,2.2737367544323206e-13
281,15,3.02882388693979,2.8421709430404007e-13
282,15,1.8585732160136104,2.2737367544323206e-13
283,15,1.9425031091086566,2.2737367544323206e-13
284,15,2.792339464009274,2.2737367544323206e-13
285,15,3.214874683879316,2.2737367544323206e-13
286,15,2.7813416370772757,4.547473508864641e-13
287,15,2.8343497079913504,2.2737367544323206e-13
288,15,2.6520599658833817,4.547473508864641e-13
289,15,1.939787342271302,2.2737367544323206e-13
290,15,2.011905108927749,2.2737367544323206e-13
291,15,3.6033657960942946,4.547473508864641e-13
292,15,3.121722290990874,2.2737367544323206e-13
293,15,3.259015881048981,4.547473508864641e-13
294,15,3.433823194121942,4.547473508864641e-13
295,15,3.1120137969846837,2.2737367544323206e-13
296,15,2.027273680898361,2.2737367544323206e-13
297,15,1.9457924028974958,2.2737367544323206e-13
298,15,2.945379166980274,4.547473508864641e-13
299,15,3.58879950188566,4.547473508864641e-13
300,15,2.847207614860963,2.2737367544323206e-13
301,15,3.1352855889708735,4.547473508864641e-13
302,15,3.0015501908492297,2.2737367544323206e-13
303,15,2.1530484728864394,2.2737367544323206e-13
304,15,2.0602241200977005,2.2737367544323206e-13
305,15,3.0017060810350813,4.547473508864641e-13
306,15,3.4595693569863215,4.547473508864641e-13
307,15,3.928333238873165,3.410605131648481e-13
308,15,3.603139306884259,4.547473508864641e-13
309,15,2.97014724399196,4.547473508864641e-13
310,15,2.285447316884529,2.2737367544323206e-13
311,15,2.2209166971151717,2.2737367544323206e-13
312,15,2.9961877620080486,4.547473508864641e-13
313,15,2.911010297073517,4.547473508864641e-13
314,15,3.216804468072951,4.547473508864641e-13
315,15,2.906649099139031,4.547473508864641e-13
316,15,3.1043443100061268,4.547473508864641e-13
317,15,1.9237425460014492,2.2737367544323206e-13
318,15,2.1185346400015987,2.2737367544323206e-13
319,15,3.799555628094822,2.2737367544323206e-13
320,15,3.4123399709933437,3.410605131648481e-13
321,15,3.49335875781253,4.547473508864641e-13
322,15,3.1683289750362746,4.547473508864641e-13
323,15,3.601095106161665,4.547473508864641e-13
324,15,2.2637389509472996,2.2737367544323206e-13
325,15,2.216623345913831,2.2737367544323206e-13
326,15,3.5603209980763495,3.410605131648481e-13
327,15,3.204083146993071,4.547473508864641e-13
328,15,3.2919674010481685,4.547473508864641e-13
329,15,3.522314417990856,4.547473508864641e-13
330,15,2.9268615200999193,2.5011104298755527e-12
331,15,2.0579777500242926,2.2737367544323206e-13
332,15,2.613637434958946,2.2737367544323206e-13
333,15,3.3097917909617536,4.547473508864641e-13
334,15,3.0911212420323864,4.547473508864641e-13
335,15,3.254101669008378,4.547473508864641e-13
336,15,2.743972876050975,4.547473508864641e-13
337,15,2.2803744060802273,3.410605131648481e-13
338,15,2.3253445890150033,2.2737367544323206e-13
339,15,2.524709402117878,2.2737367544323206e-13
340,15,2.736213623022195,4.547473508864641e-13
341,15,2.6148427648004144,3.410605131648481e-13
342,15,3.1068470319733024,3.410605131648481e-13
343,15,2.834424711007159,2.2737367544323206e-13
344,15,2.7733949031098746,4.547473508864641e-13
345,15,2.8266732979682274,2.450912736651212e-13
346,15,2.1500596219557337,2.77116003755129e-13
347,15,2.674383489007596,4.547473508864641e-13
348,15,2.826948505011387,4.547473508864641e-13
349,15,3.3347926501301117,3.410605131648481e-13
350,15,2.8495992911048234,3.410605131648481e-13
