plan_day,m0_cost_yuan,m3_cost_yuan,daily_saving_yuan,cumulative_saving_yuan
2025-04-08,41065.82710768976,39579.155806486815,1486.6713012029431,75106.62818551622
2025-04-09,39074.93538734051,38765.77902679615,309.1563605443589,75415.78454606057
2025-04-10,35180.31546001445,34382.65465183624,797.6608081782106,76213.4453542388
2025-04-11,14264.944233641672,12883.926370594665,1381.0178630470073,77594.4632172858
2025-04-12,12972.884815566887,12869.921319911853,102.96349565503442,77697.42671294083
2025-04-13,35204.91502801239,33771.5190791647,1433.3959488476903,79130.82266178852
2025-04-14,38246.792837763125,35985.098175997766,2261.6946617653593,81392.51732355388
2025-04-15,41027.3070886595,35401.750393455404,5625.556695204097,87018.07401875798
2025-04-16,40413.46783535413,36788.77051153578,3624.697323818349,90642.77134257634
2025-04-17,47556.06882014107,36038.19394965517,11517.874870485895,102160.64621306222
2025-04-18,10629.551735793699,10869.301048137842,-239.74931234414362,101920.89690071809
2025-04-19,12817.302897247591,12784.863375350005,32.43952189758602,101953.33642261567
2025-04-20,35147.63096423646,32696.349485524326,2451.2814787121315,104404.6179013278
2025-04-21,34350.26355086812,33798.70922703186,551.5543238362588,104956.17222516406
2025-04-22,46631.04845419235,38722.26071978391,7908.787734408441,112864.9599595725
2025-04-23,50290.91003645221,34790.06281182184,15500.847224630372,128365.80718420287
2025-04-24,30702.741898255998,30562.846942321652,139.8949559343455,128505.70214013722
2025-04-25,11316.42479818073,11719.541817711808,-403.11701953107877,128102.58512060613
2025-04-26,11750.64430128543,11621.588707926572,129.05559335885846,128231.640713965
2025-04-27,35304.965204318876,30902.69550714938,4402.269697169497,132633.91041113448
2025-04-28,39211.94130883933,39091.323363420146,120.61794541918061,132754.52835655367
2025-04-29,35912.917004876086,33710.14436715122,2202.772637724869,134957.30099427854
2025-04-30,39269.08084326732,35765.425821025354,3503.6550222419683,138460.9560165205
2025-05-01,47681.45140111711,41393.76558094408,6287.685820173036,144748.64183669354
2025-05-02,19066.116550154118,15935.382390284636,3130.734159869482,147879.37599656303
2025-05-03,20728.094663170374,16332.755826526636,4395.3388366437375,152274.71483320676
2025-05-04,44457.610506237244,38824.29693174454,5633.313574492706,157908.02840769946
2025-05-05,42757.57109884703,39989.96263416633,2767.6084646806994,160675.63687238016
2025-05-06,63248.357223526466,44264.98785204291,18983.369371483554,179659.00624386373
2025-05-07,60874.51258172434,42499.613648429215,18374.898933295124,198033.90517715886
2025-05-08,42196.882290290785,36970.57689341116,5226.305396879623,203260.21057403847
2025-05-09,15382.765918628127,13476.603177556304,1906.162741071823,205166.3733151103
2025-05-10,18082.54585455478,16366.179841677122,1716.3660128776592,206882.73932798798
2025-05-11,40801.22593506388,37399.55369446282,3401.6722406010595,210284.41156858904
2025-05-12,53474.78033498098,39721.158053414605,13753.622281566371,224038.03385015542
2025-05-13,43474.72443278079,38734.49705362088,4740.227379159915,228778.26122931534
2025-05-14,37163.03162741924,38261.19414273661,-1098.1625153173736,227680.09871399796
2025-05-15,36747.02965405878,36486.52944563179,260.50020842698723,227940.59892242495
2025-05-16,12392.800916996704,12117.075659096794,275.7252578999105,228216.32418032485
2025-05-17,15031.94500125212,15010.53537254368,21.409628708439413,228237.7338090333
2025-05-18,36734.30215973458,35256.43498847164,1477.8671712629366,229715.60098029624
2025-05-19,34789.557551980535,35659.13084503583,-869.5732930552913,228846.02768724094
2025-05-20,43157.18545111635,40317.63056781172,2839.554883304627,231685.58257054558
2025-05-21,43977.508948058596,38689.54525860923,5287.963689449367,236973.54625999494
2025-05-22,34159.55367525352,34144.89999577768,14.653679475835816,236988.19993947077
2025-05-23,11469.030097378185,11474.781254183186,-5.751156805001301,236982.44878266577
2025-05-24,15379.145311810536,15561.616868530538,-182.4715567200019,236799.97722594577
2025-05-25,31974.106235337673,32475.605459493403,-501.4992241557302,236298.47800179003
2025-05-26,50714.60871743972,39014.67202467592,11699.936692763797,247998.41469455382
2025-05-27,39101.80966771886,37152.03417297687,1949.775494741989,249948.1901892958
2025-05-28,37136.546458398894,36260.87407918371,875.6723792151824,250823.862568511
2025-05-29,36021.60014956147,36518.870613411775,-497.27046385030553,250326.5921046607
2025-05-30,12968.877019689115,12890.758807272843,78.11821241627149,250404.71031707697
2025-05-31,14915.56914461371,14034.862041797336,880.7071028163737,251285.41741989335
2025-06-01,60660.463077315035,56353.23113227177,4307.231945043262,255592.6493649366
2025-06-02,67669.89587467418,56740.319420195614,10929.57645447857,266522.2258194152
2025-06-03,67748.29810288617,56438.67292041765,11309.625182468517,277831.8510018837
2025-06-04,65683.0176783123,55589.92710073416,10093.090577578143,287924.9415794618
2025-06-05,87099.83721490378,59520.455329221564,27579.38188568221,315504.323465144
2025-06-06,32869.89808289177,25298.339616457215,7571.558466434555,323075.88193157857
2025-06-07,37232.26480525413,26160.163610958578,11072.101194295556,334147.98312587413
2025-06-08,58148.121254810976,48054.55820553068,10093.563049280296,344241.54617515445
2025-06-09,58166.60032781731,56029.2648754769,2137.335452340405,346378.8816274949
2025-06-10,63511.194795166986,53927.7592190209,9583.435576146083,355962.31720364094
2025-06-11,64547.451248434576,57950.69378973995,6596.757458694628,362559.07466233557
2025-06-12,57612.038710983456,54508.18483792407,3103.8538730593864,365662.92853539495
2025-06-13,20062.11426896286,18600.51698361604,1461.597285346823,367124.5258207418
2025-06-14,20854.086326270775,23280.220346815335,-2426.1340205445595,364698.3918001972
2025-06-15,58150.19856799997,52832.498636017044,5317.6999319829265,370016.0917321801
2025-06-16,56407.12535650864,56124.283680237095,282.8416762715424,370298.9334084516
2025-06-17,56890.183209258255,55686.942207662396,1203.2410015958594,371502.1744100475
2025-06-18,57190.04820465376,55780.92917486994,1409.1190297838184,372911.2934398313
2025-06-19,52970.38889259468,51831.11945079626,1139.269441798424,374050.56288162974
2025-06-20,18954.627611398017,18763.22907343943,191.39853795858653,374241.9614195883
2025-06-21,20808.926803145965,19746.17702467804,1062.7497784679254,375304.71119805623
2025-06-22,48111.08884187773,48451.70429984485,-340.61545796712016,374964.09574008913
2025-06-23,50996.20613741736,50345.7099796315,650.4961577858558,375614.591897875
2025-06-24,60844.696626908124,60269.57253772571,575.1240891824127,376189.7159870574
2025-06-25,55041.76480435561,52163.43795254149,2878.3268518141194,379068.04283887154
2025-06-26,49079.74315543891,49209.01848749184,-129.27533205293003,378938.76750681864
2025-06-27,18238.52392397228,17619.033850395863,619.4900735764168,379558.25758039503
2025-06-28,20881.423519606535,20812.212351401413,69.2111682051218,379627.46874860016
2025-06-29,60087.67729220421,50849.211602421696,9238.465689782512,388865.9344383827
2025-06-30,52916.74446063831,52692.11692363185,224.62753700645408,389090.56197538914
2025-07-01,144748.77909094625,75613.48518576029,69135.29390518596,458225.8558805751
2025-07-02,127358.55969770659,66747.26109289734,60611.29860480924,518837.15448538435
2025-07-03,119688.30745166553,75910.19728243817,43778.110169227366,562615.2646546117
2025-07-04,54385.071312275206,33134.8042513936,21250.267060881604,583865.5317154933
2025-07-05,55360.673884319556,36110.39433227328,19250.279552046275,603115.8112675396
2025-07-06,155823.09200704226,76319.56214119938,79503.52986584288,682619.3411333825
2025-07-07,104962.59562502953,65314.77877010449,39647.81685492504,722267.1579883075
2025-07-08,69566.39322259971,63424.35702428633,6142.036198313384,728409.1941866209
2025-07-09,67022.72406028047,59932.666218313236,7090.057841967231,735499.2520285881
2025-07-10,74154.18026436375,63008.3445875552,11145.83567680855,746645.0877053966
2025-07-11,29327.70021896756,26078.9633823517,3248.736836615859,749893.8245420124
2025-07-12,35128.69829868979,31118.643263392936,4010.0550352968567,753903.8795773092
2025-07-13,58715.03565775571,56276.377270785386,2438.6583869703245,756342.5379642795
2025-07-14,69981.71137737458,60460.95905313004,9520.752324244539,765863.2902885241
2025-07-15,64678.911806458476,61451.80049814973,3227.1113083087475,769090.4015968329
2025-07-16,63461.862700783466,62061.99361820807,1399.8690825753947,770490.2706794083
2025-07-17,60102.34155235632,59500.27269239261,602.0688599637142,771092.339539372
2025-07-18,27259.84834845043,26147.216045823483,1112.6323026269456,772204.971841999
2025-07-19,29562.684017758293,28543.91057251024,1018.7734452480508,773223.745287247
2025-07-20,61952.63972840034,59765.04551294267,2187.5942154576696,775411.3395027047
2025-07-21,65859.36963913288,64149.774994239226,1709.5946448936593,777120.9341475983
2025-07-22,63027.11506921394,61904.20458741716,1122.9104817967818,778243.8446293952
2025-07-23,68772.29903979613,65650.64727935608,3121.6517604400433,781365.4963898353
2025-07-24,69775.62710318374,65645.2555769305,4130.371526253235,785495.8679160886
2025-07-25,25212.64708944286,24900.89150029933,311.7555891435295,785807.623505232
2025-07-26,28959.107754732497,28819.032062780152,140.07569195234464,785947.6991971844
2025-07-27,58736.37632013653,57848.08803057852,888.2882895580115,786835.9874867424
2025-07-28,64863.936297158565,63965.221999711604,898.7142974469607,787734.7017841894
2025-07-29,61959.78527768059,61921.36896352159,38.4163141589961,787773.1180983484
2025-07-30,73755.30376290457,63925.33560779699,9829.968155107585,797603.086253456
2025-07-31,61362.86232600464,60329.30517260383,1033.557153400805,798636.6434068568
2025-08-01,24603.275606466337,24205.086332485283,398.1892739810537,799034.8326808378
2025-08-02,28111.256296104806,27556.37956162556,554.8767344792468,799589.709415317
2025-08-03,47689.77683427546,50197.940281240226,-2508.163446964769,797081.5459683522
2025-08-04,54355.168255689045,55312.88816290895,-957.7199072199073,796123.8260611324
2025-08-05,53530.853373659695,53106.550189828355,424.30318383134,796548.1292449638
2025-08-06,58384.221776067454,56222.793367967664,2161.4284080997895,798709.5576530636
2025-08-07,56154.1492012838,54765.499946762255,1388.6492545215442,800098.2069075851
2025-08-08,22384.346491482287,22576.30926498615,-191.962773503863,799906.2441340813
2025-08-09,25373.108465986534,25422.16192753135,-49.053461544815946,799857.1906725365
2025-08-10,52263.36385571763,51488.3584613327,775.0053943849343,800632.1960669215
2025-08-11,57988.4067006233,56733.006228695886,1255.4004719274162,801887.5965388488
2025-08-12,60990.04288641771,57847.608211730716,3142.4346746869924,805030.0312135358
2025-08-13,62319.516239337834,53601.19679399883,8718.319445339002,813748.3506588748
2025-08-14,53951.86830543941,55064.18423870206,-1112.3159332626456,812636.0347256121
2025-08-15,23101.253059394556,24488.18036806779,-1386.9273086732355,811249.1074169389
2025-08-16,27437.659495297372,28106.422386962648,-668.7628916652757,810580.3445252737
2025-08-17,53230.91557595288,51394.5965391815,1836.3190367713833,812416.6635620451
2025-08-18,55314.636715713015,55293.73126096885,20.905454744162853,812437.5690167892
2025-08-19,52351.07840106556,52152.29600105949,198.78240000607184,812636.3514167953
2025-08-20,62915.23503271745,60582.55974093158,2332.6752917858685,814969.0267085811
2025-08-21,53546.31605618274,52183.80418223777,1362.511873944968,816331.5385825261
2025-08-22,25414.434984672163,23795.223734526815,1619.2112501453485,817950.7498326715
2025-08-23,28556.247148727503,25604.61432624011,2951.632822487394,820902.3826551589
2025-08-24,49790.17090970411,49798.187400419396,-8.016490715286636,820894.3661644435
2025-08-25,66122.89117534796,61692.28300877373,4430.608166574231,825324.9743310178
2025-08-26,51891.95987078064,52237.30229237918,-345.342421598536,824979.6319094193
2025-08-27,61360.831812303884,56240.00654266385,5120.825269640038,830100.4571790594
2025-08-28,85294.71631440723,62285.120630661215,23009.59568374601,853110.0528628054
2025-08-29,23469.173723551976,23069.892682079204,399.2810414727719,853509.3339042782
2025-08-30,27568.969959568316,28219.582216970623,-650.6122574023066,852858.721646876
