day_index,candidate_count,candidate_solve_seconds_sum,max_source_pool_residual
43,15,3.1171895121224225,5.684341886080801e-13
44,15,2.887758781958837,4.547473508864641e-13
45,15,2.587907836015802,4.547473508864641e-13
46,15,2.90301988000283,3.410605131648481e-13
47,15,2.8034425479127094,4.547473508864641e-13
48,15,2.641705585992895,4.547473508864641e-13
49,15,3.1172363609075546,4.547473508864641e-13
50,15,3.0448301470605657,4.547473508864641e-13
51,15,2.693703714059666,4.547473508864641e-13
52,15,2.588405782938935,4.547473508864641e-13
53,15,2.9841951999696903,4.547473508864641e-13
54,15,2.769352389033884,4.547473508864641e-13
55,15,3.1440970829571597,4.547473508864641e-13
56,15,2.9324655071250163,4.547473508864641e-13
57,15,2.7911160849034786,3.410605131648481e-13
58,15,2.228649237949867,4.547473508864641e-13
59,15,2.4513782669673674,4.547473508864641e-13
60,15,3.353688628063537,4.547473508864641e-13
61,15,3.050729694077745,4.547473508864641e-13
62,15,2.9582483610720374,4.547473508864641e-13
63,15,2.670192087010946,4.547473508864641e-13
64,15,3.5733631540788338,3.410605131648481e-13
65,15,1.840227457229048,2.2737367544323206e-13
66,15,1.8330425909953192,2.2737367544323206e-13
67,15,3.0917333340621553,4.547473508864641e-13
68,15,3.4144402349484153,2.2737367544323206e-13
69,15,3.002782877883874,4.547473508864641e-13
70,15,2.8794144909479655,2.2737367544323206e-13
71,15,3.2883982779458165,2.2737367544323206e-13
72,15,2.338964703027159,2.473576898864849e-13
73,15,2.010642947105225,2.2737367544323206e-13
74,15,3.1661773159285076,2.2737367544323206e-13
75,15,2.5831038051401265,4.547473508864641e-13
76,15,2.76052085502306,4.547473508864641e-13
77,15,3.177568459068425,2.2737367544323206e-13
78,15,3.2789878349285573,2.802202914153895e-13
79,15,2.2366590289166197,2.2737367544323206e-13
80,15,1.974067633971572,2.2737367544323206e-13
81,15,3.398586770053953,4.547473508864641e-13
82,15,3.687986838107463,4.547473508864641e-13
83,15,2.7629444508929737,2.2737367544323206e-13
84,15,3.496902101964224,4.547473508864641e-13
85,15,2.5398524329648353,2.2737367544323206e-13
86,15,1.8456527170492336,2.2737367544323206e-13
87,15,1.9040710379485972,2.2737367544323206e-13
88,15,2.8469746029004455,4.547473508864641e-13
89,15,2.615587472973857,2.2737367544323206e-13
90,15,3.5469092240091413,4.547473508864641e-13
91,15,2.433712757891044,2.2737367544323206e-13
92,15,2.2588636350701563,4.547473508864641e-13
93,15,1.8492896110983565,2.2737367544323206e-13
94,15,1.7934163799509406,2.2737367544323206e-13
95,15,3.9571055279811844,4.547473508864641e-13
96,15,3.534282158885617,4.547473508864641e-13
97,15,2.4997522410703823,2.2737367544323206e-13
98,15,2.5137205610517412,4.547473508864641e-13
99,15,2.5463763368315995,4.547473508864641e-13
100,15,1.8172892510192469,2.2737367544323206e-13
101,15,1.6858129110769369,2.2737367544323206e-13
102,15,2.8460200659465045,4.547473508864641e-13
103,15,3.0321033141226508,4.547473508864641e-13
104,15,2.667014213046059,2.2737367544323206e-13
105,15,2.454127682838589,2.2737367544323206e-13
106,15,3.0054248741362244,4.547473508864641e-13
107,15,1.7585190169047564,2.2737367544323206e-13
108,15,1.8378535960800946,2.2737367544323206e-13
109,15,3.4286207380355336,2.2737367544323206e-13
110,15,2.5645680939778686,2.2737367544323206e-13
111,15,2.5739250439219177,2.2737367544323206e-13
112,15,2.8457770429668017,2.2737367544323206e-13
113,15,2.852245461079292,4.547473508864641e-13
114,15,1.7842376978951506,2.2737367544323206e-13
115,15,1.699018262734171,2.2737367544323206e-13
116,15,3.072772624902427,2.2737367544323206e-13
117,15,2.275578631844837,2.7000623958883807e-13
118,15,3.093554152001161,2.2737367544323206e-13
119,15,2.2977677621529438,4.547473508864641e-13
120,15,2.652720483019948,4.547473508864641e-13
121,15,1.762096605845727,2.2737367544323206e-13
122,15,1.8870499180047773,2.2737367544323206e-13
123,15,2.260821942880284,4.547473508864641e-13
124,15,2.4389418101054616,2.3447910280083306e-13
125,15,3.1600870691472664,4.547473508864641e-13
126,15,2.5442708589835092,4.547473508864641e-13
127,15,2.6124860830022953,2.7355895326763857e-13
128,15,1.793098324968014,2.2737367544323206e-13
129,15,1.8629150329506956,2.2737367544323206e-13
130,15,2.2691324491170235,4.547473508864641e-13
131,15,2.8553279722109437,2.2737367544323206e-13
