scenario,policy,split,month,days,cash_cost,normal_cost,adjustment_cost,emergency_cost,emergency_kwh,surplus_kwh,gate_passes,gate_expected_net
q3,adaptive_rolling,development,2025-05,31,980920.9971531924,894225.0694274147,25283.82223406358,61412.10549171421,9460.478616174789,242396.57162779014,27,20209.49281223909
q3,adaptive_rolling,development,2025-06,30,1402708.3293658954,1170093.7319997721,25787.660992563942,206826.9363735593,31846.19549266926,106203.02317564511,24,22170.308356828587
q3,static,audit,2025-07,31,1558690.4169371289,1512685.9994106165,0.0,46004.41752651247,9850.178601443095,344396.2861830209,0,0.0
q3,static,audit,2025-08,31,1285815.6305469142,1232341.6808607616,0.0,53473.94968615265,7964.51808087236,283448.4450747856,0,0.0
q3,static,audit,2025-09,30,1199069.6554365135,1028272.5877416639,0.0,170797.0676948495,27313.92743053104,185723.21036336586,0,0.0
q3,static,audit,2025-10,31,1235506.0648904787,1053087.0501440298,0.0,182419.01474644907,28310.69391455265,209712.85052045845,0,0.0
q3,static,audit,2025-11,30,1265960.8650071046,1225403.298917893,0.0,40557.56608921147,7209.914649655833,83276.65248891633,0,0.0
q3,static,audit,2025-12,31,1697389.7149500384,1633411.6173177292,0.0,63978.097632309386,12623.114395488317,130705.1750905933,0,0.0
q3,static,development,2025-02,28,1198716.744151819,1183983.1171890073,0.0,14733.62696281164,2506.862848762748,128458.88633027216,0,0.0
q3,static,development,2025-03,31,1247744.7883524282,1042685.3393629582,0.0,205059.4489894701,32279.20339639801,153519.53510493084,0,0.0
q3,static,development,2025-04,30,934344.1276556719,903422.7873782765,0.0,30921.34027739546,4877.907149839264,235147.83746670498,0,0.0
q3,static,development,2025-05,31,1026977.2086508408,885409.9545680885,0.0,141567.25408275233,22315.764781021237,231102.81822653415,0,0.0
q3,static,development,2025-06,30,1488759.2081111507,1167246.7383653363,0.0,321512.46974581445,50166.00430055466,104823.51307750758,0,0.0
q4_2,adaptive_no_updates,audit,2025-07,31,1701639.4718708415,1627665.2724429334,0.0,73974.19942790807,10612.608928725114,223534.07181324842,0,0.0
q4_2,adaptive_no_updates,audit,2025-08,31,1506098.0361941135,1371989.1796567987,0.0,134108.85653731468,17703.968884428505,311390.2827580067,0,0.0
q4_2,adaptive_no_updates,audit,2025-09,30,1166663.4130933937,1063691.6663046824,0.0,102971.74678871116,16519.055474764664,241196.38127676648,0,0.0
q4_2,adaptive_no_updates,audit,2025-10,31,1205791.3331385748,1077610.0609220422,0.0,128181.2722165326,20505.910905403696,229738.55266257413,0,0.0
q4_2,adaptive_no_updates,audit,2025-11,30,1332126.7222956843,1314607.370657093,0.0,17519.35163859142,2998.0041623157767,127248.10136954892,0,0.0
q4_2,adaptive_no_updates,audit,2025-12,31,1958579.351137369,1850730.291930146,0.0,107849.05920722286,15744.716886967062,140374.32463231692,0,0.0
q4_2,adaptive_no_updates,development,2025-02,28,1273212.4084390653,1238506.1211737588,0.0,34706.28726530667,5994.549778418491,114780.5469064667,0,0.0
q4_2,adaptive_no_updates,development,2025-03,31,1185855.7589811564,1068631.5489783129,0.0,117224.2100028435,19453.99280373662,187215.30041445993,0,0.0
q4_2,adaptive_no_updates,development,2025-04,30,956999.0732737117,871350.1647546408,0.0,85648.90851907093,13926.070164036162,232779.29812150283,0,0.0
q4_2,adaptive_no_updates,development,2025-05,31,986996.7689879478,891142.1475688696,0.0,95854.62141907815,16073.905562949767,265532.0031187162,0,0.0
q4_2,adaptive_no_updates,development,2025-06,30,1607545.6075665134,1339406.904924987,0.0,268138.70264152624,41541.98032638579,223610.62641481223,0,0.0
q4_2,adaptive_rolling,audit,2025-07,31,1701639.4718708415,1627665.2724429334,0.0,73974.19942790807,10612.608928725114,223534.07181324842,0,0.0
q4_2,adaptive_rolling,audit,2025-08,31,1506098.0361941135,1371989.1796567987,0.0,134108.85653731468,17703.968884428505,311390.2827580067,0,0.0
q4_2,adaptive_rolling,audit,2025-09,30,1166663.4130933937,1063691.6663046824,0.0,102971.74678871116,16519.055474764664,241196.38127676648,0,0.0
q4_2,adaptive_rolling,audit,2025-10,31,1205791.3331385748,1077610.0609220422,0.0,128181.2722165326,20505.910905403696,229738.55266257413,0,0.0
q4_2,adaptive_rolling,audit,2025-11,30,1332126.7222956843,1314607.370657093,0.0,17519.35163859142,2998.0041623157767,127248.10136954892,0,0.0
q4_2,adaptive_rolling,audit,2025-12,31,1958579.351137369,1850730.291930146,0.0,107849.05920722286,15744.716886967062,140374.32463231692,0,0.0
q4_2,adaptive_rolling,development,2025-02,28,1273212.4084390653,1238506.1211737588,0.0,34706.28726530667,5994.549778418491,114780.5469064667,0,0.0
q4_2,adaptive_rolling,development,2025-03,31,1185855.7589811564,1068631.5489783129,0.0,117224.2100028435,19453.99280373662,187215.30041445993,0,0.0
q4_2,adaptive_rolling,development,2025-04,30,956999.0732737117,871350.1647546408,0.0,85648.90851907093,13926.070164036162,232779.29812150283,0,0.0
q4_2,adaptive_rolling,development,2025-05,31,986996.7689879478,891142.1475688696,0.0,95854.62141907815,16073.905562949767,265532.0031187162,0,0.0
q4_2,adaptive_rolling,development,2025-06,30,1607545.6075665134,1339406.904924987,0.0,268138.70264152624,41541.98032638579,223610.62641481223,0,0.0
q4_2,static,audit,2025-07,31,1703521.1234460438,1624095.1451940741,0.0,79425.97825196959,14081.068296494152,210125.7042767933,0,0.0
q4_2,static,audit,2025-08,31,1481525.277921662,1403691.0286055019,0.0,77834.24931615993,10206.310896295425,347240.16677677626,0,0.0
q4_2,static,audit,2025-09,30,1150640.461913334,1087742.8460700517,0.0,62897.61584328228,10430.183382362837,260675.27039227457,0,0.0
q4_2,static,audit,2025-10,31,1267199.3513890675,1042019.475650681,0.0,225179.8757383866,36466.70906118453,204087.1069922982,0,0.0
q4_2,static,audit,2025-11,30,1330813.1534693737,1317729.9936512397,0.0,13083.15981813398,2175.5540805319165,129764.95054157685,0,0.0
