date,normal_cost,emergency_cost,cash_cost,emergency_kwh,surplus_kwh,end_energy_kwh,case,policy,alpha,split
2025-08-19,51841.51808810273,1518.9100163671706,53360.4281044699,179.98528794658273,3003.937171805025,5992.415671402582,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-20,54281.926880538325,10509.606207737428,64791.533088275755,1415.4546490623875,507.7380607295214,6220.395344234052,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-21,52800.52908776792,129.1187764555418,52929.647864223465,15.494978449448126,3115.6193675983695,6192.398255610411,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-22,24090.958139404975,0.0,24090.958139404975,0.0,17513.08150098235,6968.5452356963715,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-23,22783.467852886235,0.0,22783.467852886235,0.0,16133.642497066368,6584.39863499127,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-24,51692.62788095564,308.88654387532733,52001.514424830966,53.667308905025195,2415.830107002409,6148.222859897167,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-25,56245.76543847482,486.86243332162906,56732.627871796445,57.52691713659874,3179.1546620695235,6243.051291590459,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-26,52310.12421700475,262.2133783775665,52572.33759538231,31.256693861441022,1719.064459624478,6427.564145037281,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-27,52662.217813589756,3205.3611634674294,55867.57897705719,376.0727057491478,680.2889760247224,6254.5667310150375,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-28,51642.05991554595,26790.9641310887,78433.02404663464,3334.3572115321563,427.9191682487633,6097.451493561936,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-29,24699.864194950507,0.0,24699.864194950507,0.0,17282.789002142392,7224.519371803774,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-30,23228.762672818644,0.0,23228.762672818644,0.0,20063.696052253315,6480.220792983529,q4_variable_price,adaptive_alpha70,0.7,audit
2025-08-31,50507.178264366295,7665.997542110409,58173.175806476705,1109.1502918740587,458.4678626581341,6404.031324368772,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-01,45375.0366098908,0.0,45375.0366098908,0.0,9856.241649774685,9552.314623878681,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-02,40445.11188378677,0.0,40445.11188378677,0.0,4250.105731344276,8768.014341847713,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-03,40922.68752904668,0.0,40922.68752904668,0.0,2099.389141269771,7854.471091336407,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-04,39414.20767184627,0.0,39414.20767184627,0.0,1994.194750006502,7323.956694611874,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-05,16592.44064176209,0.0,16592.44064176209,0.0,23853.507526293346,8087.615656567173,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-06,15971.840536013444,0.0,15971.840536013444,0.0,22863.844523795044,8120.782205123875,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-07,36068.31561152679,8735.63442458759,44803.95003611438,1272.0698712194076,140.11068286795512,6381.971488337864,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-08,35709.99881686188,42058.559859605,77768.55867646687,6492.452835603492,15.219365786162939,5523.374323374765,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-09,36310.690297941226,15779.802474287153,52090.492772228376,2445.7595499655617,1502.3919530971552,5703.425478432178,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-10,37226.353864411256,45490.13229447031,82716.48615888157,7091.138361724993,35.45755129153031,5883.315870731047,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-11,37794.35201358833,5804.266282897957,43598.61829648629,1042.6838079738318,1700.6006579209466,6043.136129762854,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-12,15053.293429024054,0.0,15053.293429024054,0.0,17422.96835520803,6798.316341563234,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-13,14980.211381480716,0.0,14980.211381480716,0.0,21577.98594436833,6831.519496515689,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-14,40723.77842194623,6707.866793600204,47431.64521554643,1004.6277519024535,523.9445926116101,5868.809697570525,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-15,39085.99522276521,7189.19584728604,46275.19107005125,1174.6031375125042,1311.3161705952539,6334.610763998962,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-16,40363.86971643622,5928.995185398928,46292.86490183514,902.060094339006,96.64618052481626,5915.393935387602,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-17,40926.03190625014,9763.308848649991,50689.34075490013,1557.2947304642569,639.017795127613,5936.248740404646,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-18,38844.57079490781,19163.00193107459,58007.572725982405,3043.6685373290697,515.1462863101574,6126.044109492828,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-19,15438.296667163613,0.0,15438.296667163613,0.0,13178.1848218625,7042.634215204694,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-20,15076.148511903803,0.0,15076.148511903803,0.0,14188.876760843708,6998.590365954574,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-21,42627.114391990865,0.0,42627.114391990865,0.0,3081.4283864778013,6521.175974726832,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-22,43637.629277691536,232.46054389893584,43870.089821590474,53.40146174768117,1685.1993986508962,5875.1244666341645,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-23,43749.83516063681,2914.2836159963563,46664.118776633164,450.9647092636622,936.5655069158515,6201.346235677288,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-24,41531.36655548217,12165.439481643712,53696.80603712588,1903.4262474013256,107.49406261175432,6212.77010123572,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-25,43038.11001264166,106.25664583333337,43144.36665847499,15.37166666666667,1666.646244813228,5999.535286981839,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-26,15573.281552382581,0.0,15573.281552382581,0.0,12818.624100894749,6936.783705975676,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-27,15569.09480184169,0.0,15569.09480184169,0.0,13192.812337146292,6228.223312811845,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-28,44670.272477884646,284.9472503529244,44955.21972823757,41.92206710602056,392.036155199228,6135.319354409281,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-29,45669.673740827086,1490.722975742719,47160.396716569805,226.6192374185922,2801.201249583425,6110.153288973643,q4_variable_price,adaptive_alpha70,0.7,audit
2025-09-30,45163.318000888874,8168.583948917938,53331.90194980681,1305.404488042493,473.8187899846839,6185.538214507086,q4_variable_price,adaptive_alpha70,0.7,audit
2025-10-01,43372.542328669195,0.0,43372.542328669195,0.0,15288.779105257741,8386.137504901779,q4_variable_price,adaptive_alpha70,0.7,audit
2025-10-02,43344.90994751963,0.0,43344.90994751963,0.0,14768.092490395036,8154.981248408678,q4_variable_price,adaptive_alpha70,0.7,audit
