plan_day,q4_2,q4_3_A,q4_3_B,A_minus_q42_yuan,B_minus_A_yuan
2025-02-25,49158.557688544846,49796.95564727346,48712.51146541224,638.3979587286158,-1084.444181861225
2025-02-26,47363.9704027729,48552.088985649876,48544.3895783938,1188.118582876974,-7.699407256077393
2025-02-27,52445.74760541262,52212.66408595206,52535.63369842003,-233.08351946055336,322.96961246796855
2025-02-28,13853.834060351817,13853.840626606818,13936.51705514492,0.006566255000507226,82.67642853810139
2025-03-01,14626.855813422368,14447.361527029874,14447.361527029872,-179.49428639249345,-1.8189894035458565e-12
2025-03-02,70126.39336162702,55022.41076805136,54446.63253904996,-15103.98259357566,-575.7782290014002
2025-03-03,52662.79048942655,51053.714006239126,52699.009254524135,-1609.0764831874258,1645.2952482850087
2025-03-04,52851.73358914501,52783.857347465426,53132.24605297631,-67.87624167958711,348.3887055108862
2025-03-05,52037.343742528494,52029.0768730285,52271.94919337954,-8.266869499995664,242.87232035104535
2025-03-06,49696.436020798465,49694.84008433921,51494.47668911729,-1.595936459256336,1799.636604778083
2025-03-07,13561.590386100957,14040.504600525233,15576.889550806825,478.914214424276,1536.384950281592
2025-03-08,13089.944759067337,12953.253431706755,12953.769630233632,-136.69132736058236,0.5161985268769058
2025-03-09,45393.929702283654,45389.078441616984,44523.57016558714,-4.851260666669987,-865.5082760298465
2025-03-10,47369.31095373936,47368.86346114746,47875.69895229387,-0.4474925918984809,506.8354911464048
2025-03-11,49534.31037820015,49532.51651207015,47427.82988787051,-1.7938661299995147,-2104.6866241996395
2025-03-12,44809.32385873819,44810.72972806111,43923.15458388153,1.40586932291626,-887.5751441795801
2025-03-13,61387.730030140636,49914.78776027919,49925.14795206054,-11472.942269861443,10.360191781350295
2025-03-14,13762.762694828676,14301.255800589734,14301.255800589734,538.4931057610574,0.0
2025-03-15,13534.701963487754,13268.981961585749,13268.981961585749,-265.7200019020056,0.0
2025-03-16,42998.260159267025,45479.450002438476,45138.05498265123,2481.189843171451,-341.3950197872473
2025-03-17,41527.544604115516,42256.465833888935,41070.67444552182,728.9212297734193,-1185.7913883671135
2025-03-18,45594.395860506665,45315.05452169523,44724.68811370393,-279.341338811435,-590.3664079912996
2025-03-19,39028.56341129589,39759.18810449299,39678.07812914302,730.6246931971036,-81.10997534997296
2025-03-20,52614.51351992393,44090.61268611478,44090.61268611478,-8523.900833809152,0.0
2025-03-21,13994.516552015608,14069.100089665335,14046.635034157516,74.58353764972708,-22.46505550781876
2025-03-22,12320.844491071612,12988.97855499008,12988.97855499008,668.1340639184691,0.0
2025-03-23,38534.05046452973,42305.923885552416,41379.192382170266,3771.873421022683,-926.7315033821505
2025-03-24,41097.27680141086,42560.49619519008,41823.03783860601,1463.219393779218,-737.4583565840658
2025-03-25,44546.14275512669,41420.14112716691,41798.79412435763,-3126.0016279597767,378.6529971907148
2025-03-26,37935.514682920344,40383.0101133382,39762.81974011932,2447.4954304178536,-620.1903732188803
2025-03-27,39602.052250820234,40964.36554386635,40765.046066670555,1362.3132930461143,-199.3194771957933
2025-03-28,13073.317124058789,12504.14745627255,12432.546093656834,-569.1696677862383,-71.60136261571643
2025-03-29,11697.121402061082,12591.957609393248,12662.092719262373,894.8362073321659,70.13510986912479
2025-03-30,36712.46264172929,37044.1036893987,36530.55212572752,331.64104766940727,-513.5515636711789
2025-03-31,39414.77439919606,38348.85533811129,37996.602456829016,-1065.9190610847727,-352.2528812822711
2025-04-01,60683.45826478684,45262.407179932874,44811.163713787435,-15421.051084853963,-451.243466145439
2025-04-02,69622.13415271537,51265.62412352792,51184.09743437688,-18356.510029187448,-81.52668915104005
2025-04-03,39585.50602727633,40062.76136426681,39021.35633980621,477.2553369904781,-1041.405024460597
2025-04-04,12405.733719309625,12403.245267283,12403.245267283,-2.488452026624145,0.0
2025-04-05,11433.008413589416,11433.008413589416,11433.008413589416,0.0,0.0
2025-04-06,38683.14594325316,38849.64103947216,37872.962762995034,166.4950962189978,-976.6782764771269
2025-04-07,35733.24057178939,35731.28063642888,35731.28063642888,-1.9599353605153738,0.0
2025-04-08,39638.62491217653,37615.179606343154,37615.179606343154,-2023.4453058333747,0.0
2025-04-09,53395.14914923416,41435.118862750176,41377.411431470486,-11960.030286483983,-57.707431279690354
2025-04-10,37171.23039091193,37821.91886200353,37713.87381983714,650.6884710915983,-108.04504216638452
2025-04-11,12911.58598386936,12912.15407286936,12912.15407286936,0.5680890000003274,0.0
2025-04-12,11148.634249214138,11151.936683225395,11151.936683225395,3.3024340112569917,0.0
2025-04-13,35205.90422310201,35392.26690585526,35374.281248698055,186.36268275324983,-17.985657157201786
2025-04-14,34379.37320294879,34414.11017661767,34019.4239558615,34.736973668885184,-394.6862207561717
2025-04-15,36086.83038143514,36091.67658211181,36091.67658211181,4.8462006766712875,0.0
2025-04-16,36892.814844248394,36566.78451610199,35990.32919180012,-326.03032814640756,-576.4553243018672
2025-04-17,37445.64110252573,37323.58165421116,37064.861410885605,-122.059448314576,-258.72024332555156
2025-04-18,11336.840221839746,11325.10118084129,11560.507331888137,-11.739040998456403,235.4061510468473
2025-04-19,10144.034964691255,10359.656817974337,10416.143190938315,215.6218532830826,56.48637296397828
2025-04-20,34057.42110835692,34206.87865570132,33608.42719117636,149.4575473444056,-598.4514645249656
2025-04-21,33247.72831021725,33165.009667374885,32848.63547669875,-82.71864284236653,-316.3741906761352
2025-04-22,35233.2122280045,36988.79201442116,36736.831957027505,1755.5797864166598,-251.960057393655
2025-04-23,33747.85316501554,33742.36622737804,33890.28687597973,-5.486937637499068,147.92064860168466
2025-04-24,33748.687752642276,34314.52199416618,33263.14227247116,565.8342415239022,-1051.3797216950188
2025-04-25,11551.886939712975,11511.068037040011,11511.068037040011,-40.818902672963304,0.0
2025-04-26,11490.120266447318,11191.946094715586,11085.22804114172,-298.1741717317327,-106.7180535738662
2025-04-27,35542.10921360768,32242.51510988046,32322.498643888004,-3299.594103727217,79.98353400754422
2025-04-28,69736.04278440392,43545.997889594735,43545.997889594735,-26190.044894809187,0.0
2025-04-29,32593.42838111949,32435.442487200344,32957.22334587643,-157.9858939191472,521.7808586760875
2025-04-30,37474.114314354345,37469.22710440601,36304.32539039914,-4.887209948334203,-1164.9017140068681
2025-05-01,45714.49370452764,41507.151037997246,41181.189634603674,-4207.342666530392,-325.96140339357225
2025-05-02,25551.948749487357,16959.468860939636,16959.468860939633,-8592.479888547721,-3.637978807091713e-12
2025-05-03,12076.946922723184,12204.553029101922,12819.80212883851,127.60610637873833,615.2490997365876
2025-05-04,39217.93151481074,39246.29787435807,39379.749964596056,28.366359547326283,133.45209023798816
2025-05-05,45344.40830719847,40274.593385658605,40413.175856681766,-5069.814921539866,138.5824710231609
2025-05-06,40296.68123608657,37800.352310374205,38650.646973118106,-2496.328925712369,850.2946627439014
2025-05-07,42935.49839730468,40951.5123040391,40312.96907654115,-1983.9860932655793,-638.5432274979466
2025-05-08,39693.997157315614,36647.24051416781,36608.74833948415,-3046.7566431478044,-38.4921746836626
2025-05-09,15052.024698017425,14991.627534037438,14465.779181615859,-60.397163979987454,-525.848352421579
2025-05-10,12981.194475265414,12988.675786246247,12923.907449596509,7.481310980832859,-64.76833664973856
2025-05-11,39467.563764485014,39476.82774633996,38108.287462364475,9.263981854943268,-1368.5402839754825
2025-05-12,39462.51316275481,39474.308559601515,38955.106800067835,11.795396846704534,-519.2017595336802
2025-05-13,38994.703082476066,39006.72405622606,37167.98815301944,12.02097374999721,-1838.7359032066233
2025-05-14,38973.13108738275,39654.13137957941,40337.762173011426,681.0002921966588,683.6307934320139
2025-05-15,36506.04933542457,38476.33959703106,37782.689244434914,1970.2902616064894,-693.6503525961452
2025-05-16,14866.605263830994,14551.998441756192,14098.766126391782,-314.60682207480204,-453.23231536441017
2025-05-17,13520.917452570096,13518.419843789796,13690.504934214721,-2.497608780300652,172.0850904249255
2025-05-18,34399.97374798701,37875.10440878828,36507.57445709027,3475.1306608012674,-1367.5299516980085
2025-05-19,37712.875244882285,37425.73409658605,36619.84321254238,-287.14114829623577,-805.8908840436707
2025-05-20,38472.67795979138,38469.02180130833,39417.35805930265,-3.6561584830487845,948.3362579943205
2025-05-21,36636.47045114491,37536.45395953118,38768.639718833976,899.9835083862708,1232.1857593027962
2025-05-22,36983.504532196595,36558.10602202615,36133.5025474142,-425.39851017044566,-424.6034746119476
2025-05-23,13656.264863468057,13689.698045579831,13925.96435149716,33.43318211177393,236.26630591732828
2025-05-24,13103.53757483071,13098.007642309045,12765.590246498623,-5.529932521665614,-332.417395810422
2025-05-25,35232.315034537605,35219.61784760344,34381.59778901071,-12.697186934165074,-838.0200585927305
2025-05-26,37297.82305467578,37520.142159075716,37940.67992715366,222.31910439993953,420.537768077942
2025-05-27,35830.104963474725,36066.5756380571,36758.39200924215,236.47067458237143,691.8163711850502
2025-05-28,34999.287063282274,36539.0341139639,36451.94924283406,1539.7470506816244,-87.08487112983858
2025-05-29,44946.694232237605,42963.84661649542,42974.05710120508,-1982.8476157421828,10.210484709656157
2025-05-30,15149.071570647475,14515.851304796051,14714.281960338725,-633.2202658514234,198.43065554267378
2025-05-31,11971.254985047215,11953.871681508943,11953.871681508943,-17.38330353827223,0.0
2025-06-01,114480.14076004206,59296.87164860637,58933.197992035326,-55183.26911143569,-363.6736565710453
2025-06-02,98278.57719919946,56076.24459881178,56094.09341844845,-42202.33260038767,17.84881963666703
2025-06-03,80522.13737738441,58489.74044660087,58392.64298527543,-22032.396930783543,-97.0974613254366
2025-06-04,53057.95196317962,53166.75115918483,52724.37337782828,108.79919600520952,-442.3777813565539
2025-06-05,57088.8083341761,55239.15762571912,55552.35533525932,-1849.650708456982,313.1977095402035
2025-06-06,30874.768342567986,23014.391380893445,23014.391380893445,-7860.376961674541,0.0
2025-06-07,22613.925598072674,21098.747678323012,21098.747678323012,-1515.1779197496617,0.0
2025-06-08,58304.15506524518,57830.02580277855,52581.4657738311,-474.1292624666239,-5248.560028947453
2025-06-09,58194.19358893961,58209.0083852275,57695.003343850054,14.814796287886566,-514.0050413774443
2025-06-10,61954.67865891256,61978.177188378395,59001.69807839088,23.49852946583269,-2976.4791099875147
2025-06-11,60193.41742931141,60210.85301819808,60602.77002247528,17.435588886670303,391.9170042771948
2025-06-12,56414.39952843873,56470.71179396365,55238.27633472907,56.31226552492444,-1232.4354592345844
2025-06-13,20821.945177206737,20830.055380317735,20948.59755317438,8.110203110998555,118.54217285664345
2025-06-14,20984.071772777916,20998.845252886564,21044.57538961507,14.773480108648073,45.730136728507205
