plan_day,model,mae_yuan_per_kwh,mse_yuan2_per_kwh2,bias_yuan_per_kwh
2025-03-16,frozen_lag7,0.04234305555555556,0.002782878611111111,-0.0010861111111111117
2025-03-17,frozen_lag7,0.05467847222222222,0.005645170486111111,0.04227569444444444
2025-03-18,frozen_lag7,0.03752638888888889,0.002180140277777778,0.013376388888888893
2025-03-19,frozen_lag7,0.04139513888888889,0.002669422986111112,0.008329861111111114
2025-03-20,frozen_lag7,0.046613194444444436,0.003514831875,0.020999305555555556
2025-03-21,frozen_lag7,0.04562291666666667,0.0032793534027777773,0.02109652777777778
2025-03-22,frozen_lag7,0.047354861111111105,0.004122910486111109,0.01738402777777777
2025-03-23,frozen_lag7,0.044475,0.0031996375,0.017716666666666665
2025-03-24,frozen_lag7,0.038775694444444446,0.0023020065972222227,-0.007310416666666668
2025-03-25,frozen_lag7,0.036240972222222216,0.001988642430555555,0.004740972222222215
2025-03-26,frozen_lag7,0.04317152777777778,0.0031058260416666665,0.015227083333333327
2025-03-27,frozen_lag7,0.03610416666666667,0.0021097675000000004,0.012222222222222221
2025-03-28,frozen_lag7,0.034181944444444445,0.001996441111111111,-0.0044777777777777784
2025-03-29,frozen_lag7,0.0455875,0.003746398888888888,0.024301388888888893
2025-03-30,frozen_lag7,0.04034583333333333,0.0029417618055555556,0.015151388888888883
2025-03-31,frozen_lag7,0.03881388888888889,0.002493331666666667,0.006781944444444447
2025-04-01,frozen_lag7,0.04680694444444446,0.0036088688888888895,-0.0018333333333333283
2025-04-02,frozen_lag7,0.04866458333333333,0.004475313541666666,-0.015709027777777777
2025-04-03,frozen_lag7,0.04193541666666667,0.0028897393750000003,0.0019520833333333334
2025-04-04,frozen_lag7,0.04014861111111111,0.002556719305555555,0.015265277777777777
2025-04-05,frozen_lag7,0.044040277777777775,0.0032939704166666662,-0.012441666666666669
2025-04-06,frozen_lag7,0.04000277777777777,0.002487952361111111,-0.0036597222222222218
2025-04-07,frozen_lag7,0.03646041666666666,0.002380338958333333,0.008988194444444451
2025-04-08,frozen_lag7,0.05653611111111112,0.005270839305555557,0.021193055555555562
2025-04-09,frozen_lag7,0.03942847222222221,0.002460457291666666,0.006049305555555557
2025-04-10,frozen_lag7,0.03784513888888888,0.002205359236111111,0.006436805555555563
2025-04-11,frozen_lag7,0.03910347222222221,0.002277726180555555,0.008024305555555557
2025-04-12,frozen_lag7,0.04124166666666667,0.0029470126388888886,0.011661111111111112
2025-04-13,frozen_lag7,0.03626805555555556,0.0021341709722222223,-0.0005680555555555496
2025-04-14,frozen_lag7,0.04096458333333333,0.002752037013888888,0.005118749999999998
2025-04-15,frozen_lag7,0.04179027777777779,0.0028981429166666673,0.01338333333333333
