plan_day,cash_baseline,emergency_baseline,soc_end_baseline,soc_start_baseline,slots_baseline,cash_candidate,emergency_candidate,soc_end_candidate,soc_start_candidate,slots_candidate,cash_saving_yuan
2025-06-29,58865.40715133482,0.0,8529.920551537041,10735.303703703705,144,58865.40715133482,0.0,8529.920551537041,10735.303703703705,144,0.0
2025-06-30,50875.72327115343,0.0,5528.797301370374,8529.920551537041,144,50861.91287066877,0.0,5528.797301370374,8529.920551537041,144,13.810400484660931
2025-07-01,95836.14594557247,5610.174985301848,1200.0,5528.797301370374,144,68527.46361632738,0.0,2922.4374964072776,5528.797301370374,144,27308.682329245086
2025-07-02,70841.16507354699,2493.311556636826,1200.0,1200.0,144,61343.31008762389,40.769161597222364,2520.253036059709,2922.4374964072776,144,9497.854985923099
2025-07-03,79290.271859157,2243.5955329421213,1872.4206335185183,1200.0,144,73581.27185432646,101.36332715277786,2995.033334207398,2520.253036059709,144,5709.000004830537
2025-07-04,34510.090723166766,3013.875182231689,6451.81390675926,1872.4206335185183,144,30034.29312433238,1721.0938480499988,6629.224702849072,2995.033334207398,144,4475.797598834386
2025-07-05,34321.94927424762,3246.3418971473275,6101.535401252972,6451.81390675926,144,29007.795456169893,1247.58058885,6673.175162713624,6629.224702849072,144,5314.153818077728
2025-07-06,117512.23795455773,7529.475692650007,1215.6886845370382,6101.535401252972,144,72927.33704677313,86.9651566666663,1661.2832743518502,6673.175162713624,144,44584.9009077846
2025-07-07,65779.51402633337,1211.8205026000005,1243.585421666668,1215.6886845370382,144,62323.7550813821,38.78730444444443,2109.88918990432,1661.2832743518502,144,3455.7589449512743
2025-07-08,69775.74152041545,0.0,3569.329957703699,1243.585421666668,144,69315.76823523683,0.0,3571.596835790118,2109.88918990432,144,459.9732851786248
2025-07-09,62118.72618434411,41.87999999999977,3377.7106855740744,3569.329957703699,144,62148.49775439829,41.87999999999965,3377.7106855740744,3571.596835790118,144,-29.77157005418121
2025-07-10,62341.979478152796,1.4891666666667334,3250.8601984323323,3377.7106855740744,144,62361.29841322779,1.4891666666666197,3250.8601984323323,3377.7106855740744,144,-19.31893507499626
2025-07-11,27837.31645877214,0.0,4253.277814220372,3250.8601984323323,144,27861.946503581752,0.0,4253.277814220372,3250.8601984323323,144,-24.630044809611718
2025-07-12,27090.09646141319,0.0,5088.7073478578,4253.277814220372,144,27107.28264873569,0.0,5088.7073478578,4253.277814220372,144,-17.18618732249888
2025-07-13,62169.61447725527,0.0,3559.9461144083366,5088.7073478578,144,62186.59387731946,0.0,3559.9461144083366,5088.7073478578,144,-16.97940006418503
2025-07-14,60793.009967430015,0.0,3445.574955985812,3559.9461144083366,144,60911.87483260305,0.0,3484.950070569144,3559.9461144083366,144,-118.86486517303274
2025-07-15,72367.00532937891,0.0,6159.579503571292,3445.574955985812,144,72391.95031424839,0.0,6159.579503571292,3484.950070569144,144,-24.944984869478503
2025-07-16,65752.62365393448,0.0,5106.6650059120375,6159.579503571292,144,65735.2055489608,0.0,5106.6650059120375,6159.579503571292,144,17.418104973679874
2025-07-17,67375.24677891645,0.0,5112.205379009455,5106.6650059120375,144,67385.42277674146,0.0,5112.205379009455,5106.6650059120375,144,-10.175997825004742
2025-07-18,28607.58983184784,0.0,5999.899063639892,5112.205379009455,144,28603.852187424865,0.0,5999.899063639892,5112.205379009455,144,3.737644422973972
2025-07-19,28950.238695129945,0.0,6199.981822609261,5999.899063639892,144,28942.61504797153,0.0,6199.981822609261,5999.899063639892,144,7.623647158416134
2025-07-20,67196.4948610165,0.0,6275.522409740738,6199.981822609261,144,67188.88167839259,0.0,6275.522409740738,6199.981822609261,144,7.6131826239143265
2025-07-21,71922.41539115128,0.0,6233.944092037036,6275.522409740738,144,71921.31228118303,0.0,6233.944092037036,6275.522409740738,144,1.10310996825865
2025-07-22,66111.98301899164,0.0,5436.2384775,6233.944092037036,144,66100.5210397619,0.0,5436.2384775,6233.944092037036,144,11.461979229745339
2025-07-23,64275.15579564431,0.0,5082.18368990741,5436.2384775,144,64274.04138049431,0.0,5082.18368990741,5436.2384775,144,1.1144151499975123
2025-07-24,63477.00690604585,0.0,5944.14937368519,5082.18368990741,144,63464.141745879184,0.0,5944.14937368519,5082.18368990741,144,12.865160166664282
2025-07-25,28180.216913039447,0.0,5899.37436291759,5944.14937368519,144,28173.626764700202,0.0,5899.37436291759,5944.14937368519,144,6.590148339244479
2025-07-26,29536.665285554096,0.0,6953.387240018521,5899.37436291759,144,29529.599475477593,0.0,6953.387240018521,5899.37436291759,144,7.065810076503112
